nmc=10
nx=4
kmax=20
run number  , frame , sample interval , truth:
1  1 1.000000  24.978372 -0.043256 123.916721 3.833442
1  2 1.000000  24.877792 -0.157904 127.809708 3.952533
1  3 1.000000  24.736253 -0.125174 131.770973 3.969997
1  4 1.000000  24.581663 -0.184006 135.850129 4.188316
1  5 1.000000  24.450995 -0.077329 140.041409 4.194244
1  6 1.000000  24.388386 -0.047888 144.168844 4.060626
1  7 1.000000  24.305909 -0.117066 148.272369 4.146425
1  8 1.000000  24.116795 -0.261162 152.447352 4.203540
1  9 1.000000  23.896414 -0.179600 156.686487 4.274731
1  10 1.000000  23.776356 -0.060516 160.901095 4.154485
1  11 1.000000  23.635636 -0.220925 165.068446 4.180216
1  12 1.000000  23.374457 -0.301434 169.275098 4.233090
1  13 1.000000  22.964489 -0.518501 173.505229 4.227171
1  14 1.000000  22.471375 -0.467727 177.817021 4.396414
1  15 1.000000  22.022665 -0.429693 182.162980 4.295502
1  16 1.000000  21.592974 -0.429689 186.442589 4.263717
1  17 1.000000  21.184694 -0.386871 190.751088 4.353280
1  18 1.000000  20.799839 -0.382839 195.138222 4.420989
1  19 1.000000  20.398126 -0.420586 199.544417 4.391401
1  20 1.000000  19.983462 -0.408742 203.951558 4.422882
2  1 1.000000  25.031162 0.062323 124.039952 4.079905
2  2 1.000000  25.104087 0.083527 128.131751 4.103693
2  3 1.000000  25.241728 0.191756 132.228869 4.090543
2  4 1.000000  25.401712 0.128210 136.291434 4.034586
2  5 1.000000  25.568981 0.206328 140.354468 4.091482
2  6 1.000000  25.715920 0.087550 144.335834 3.871250
2  7 1.000000  25.819838 0.120287 148.218786 3.894655
2  8 1.000000  25.892768 0.025572 152.094720 3.857213
2  9 1.000000  25.991965 0.172820 155.954720 3.862787
2  10 1.000000  26.108368 0.059986 159.750043 3.727859
2  11 1.000000  26.174786 0.072851 163.510725 3.793506
2  12 1.000000  26.234515 0.046607 167.243574 3.672191
2  13 1.000000  26.281684 0.047731 170.883507 3.607676
2  14 1.000000  26.279927 -0.051245 174.558163 3.741635
2  15 1.000000  26.285583 0.062558 178.265590 3.673221
2  16 1.000000  26.331611 0.029498 181.896630 3.588858
2  17 1.000000  26.333785 -0.025150 185.443150 3.504182
2  18 1.000000  26.265926 -0.110569 188.887267 3.384051
2  19 1.000000  26.179621 -0.062040 192.241543 3.324502
2  20 1.000000  26.113615 -0.069973 195.642802 3.478017
3  1 1.000000  25.023469 0.046938 123.954822 3.909643
3  2 1.000000  25.097177 0.100478 127.892109 3.964932
3  3 1.000000  25.204284 0.113734 131.936688 4.124226
3  4 1.000000  25.314085 0.105868 136.026831 4.056060
3  5 1.000000  25.434393 0.134749 140.061426 4.013130
3  6 1.000000  25.545893 0.088251 144.093103 4.050226
3  7 1.000000  25.566279 -0.047478 148.092199 3.947965
3  8 1.000000  25.449738 -0.185605 152.055941 3.979519
3  9 1.000000  25.362002 0.010133 156.060687 4.029973
3  10 1.000000  25.315146 -0.103844 160.080104 4.008861
3  11 1.000000  25.243066 -0.040317 164.058894 3.948720
3  12 1.000000  25.207048 -0.031718 167.907386 3.748263
3  13 1.000000  25.159280 -0.063818 171.717477 3.871919
3  14 1.000000  25.033880 -0.186982 175.642178 3.977484
3  15 1.000000  24.894108 -0.092562 179.513641 3.765441
3  16 1.000000  24.750639 -0.194376 183.269978 3.747233
3  17 1.000000  24.617635 -0.071631 186.982400 3.677612
3  18 1.000000  24.575351 -0.012937 190.647453 3.652492
3  19 1.000000  24.558498 -0.020769 194.344403 3.741409
3  20 1.000000  24.537139 -0.021948 198.131469 3.832723
4  1 1.000000  25.024275 0.048550 123.999750 3.999499
4  2 1.000000  25.165995 0.234890 127.973121 3.947244
4  3 1.000000  25.434906 0.302934 131.802135 3.710785
4  4 1.000000  25.750923 0.329100 135.573592 3.832129
4  5 1.000000  26.016498 0.202050 139.322541 3.665768
4  6 1.000000  26.191488 0.147929 142.921633 3.532415
4  7 1.000000  26.338852 0.146800 146.454007 3.532334
4  8 1.000000  26.472452 0.120399 149.903140 3.365933
4  9 1.000000  26.530022 -0.005260 153.251714 3.331214
4  10 1.000000  26.473705 -0.107374 156.562844 3.291048
4  11 1.000000  26.419537 -0.000962 159.841623 3.266509
4  12 1.000000  26.422143 0.006175 163.123958 3.298162
4  13 1.000000  26.400927 -0.048607 166.435161 3.324243
4  14 1.000000  26.459136 0.165024 169.746524 3.298482
4  15 1.000000  26.640438 0.197579 172.989053 3.186578
4  16 1.000000  26.793215 0.107975 176.182390 3.200095
4  17 1.000000  26.960375 0.226347 179.381713 3.198552
4  18 1.000000  27.153944 0.160791 182.595984 3.229989
4  19 1.000000  27.300979 0.133280 185.936600 3.451244
4  20 1.000000  27.350232 -0.034774 189.359167 3.393890
5  1 1.000000  25.041847 0.083695 123.963886 3.927773
5  2 1.000000  25.124519 0.081649 127.905604 3.955662
5  3 1.000000  25.118637 -0.093413 131.896133 4.025397
5  4 1.000000  25.090728 0.037595 135.937885 4.058106
5  5 1.000000  25.005872 -0.207307 140.019655 4.105435
5  6 1.000000  24.765830 -0.272777 144.071057 3.997369
5  7 1.000000  24.476535 -0.305814 148.043431 3.947379
5  8 1.000000  24.122858 -0.401540 152.055438 4.076634
5  9 1.000000  23.696431 -0.451313 156.076136 3.964762
5  10 1.000000  23.207308 -0.526934 160.036441 3.955849
5  11 1.000000  22.631314 -0.625053 163.957866 3.887000
5  12 1.000000  21.985619 -0.666339 167.819558 3.836384
5  13 1.000000  21.265227 -0.774444 171.599716 3.723932
5  14 1.000000  20.572536 -0.610938 175.260852 3.598338
5  15 1.000000  19.976973 -0.580188 178.830574 3.541106
5  16 1.000000  19.450890 -0.471978 182.490312 3.778370
5  17 1.000000  19.013995 -0.401811 186.244303 3.729611
5  18 1.000000  18.550806 -0.524568 189.940420 3.662623
5  19 1.000000  18.045891 -0.485262 193.517676 3.491890
5  20 1.000000  17.528790 -0.548941 196.959435 3.391629
6  1 1.000000  24.996423 -0.007154 124.013960 4.027920
6  2 1.000000  24.962168 -0.061356 128.123589 4.191339
6  3 1.000000  24.934394 0.005808 132.289524 4.140531
6  4 1.000000  24.971451 0.068305 136.377689 4.035797
6  5 1.000000  24.943899 -0.123408 140.436983 4.082791
6  6 1.000000  24.889530 0.014670 144.585766 4.214776
