nmc=10
nx=4
kmax=56
run number  , frame , sample interval , truth:
1  1 2.843626  24.687316 -0.219919 131.435895 4.043178
1  2 2.843626  24.018592 -0.250413 143.342946 4.331377
1  3 2.843626  23.467665 -0.137068 156.111106 4.648819
1  4 2.843626  22.523272 -0.527149 169.053303 4.453783
1  5 2.843626  21.142079 -0.444281 182.165801 4.768595
1  6 2.843626  20.042954 -0.328764 196.217535 5.114375
1  7 2.843626  19.191124 -0.270351 210.998995 5.281831
1  8 2.843626  18.768416 -0.026951 225.674496 5.039851
1  9 2.843626  18.999028 0.189147 239.313401 4.552764
1  10 2.843626  19.985483 0.504654 251.811094 4.237206
1  11 2.843626  21.751377 0.737347 263.875101 4.247741
1  12 2.843626  23.523445 0.508996 275.280909 3.774276
1  13 2.843626  25.194891 0.666578 285.845678 3.656216
1  14 2.843626  27.170853 0.723170 296.346722 3.729456
1  15 2.843626  29.364349 0.819575 308.123970 4.553806
1  16 2.843626  32.053842 1.072019 321.768183 5.042543
1  17 2.843626  35.636728 1.447923 335.847135 4.859570
1  18 2.843626  39.176062 1.041388 349.060676 4.433876
1  19 2.843626  41.968590 0.922674 359.182580 2.685136
1  20 2.843626  44.949274 1.173722 367.967334 3.493423
1  21 2.843626  48.403812 1.255949 382.610854 6.805766
1  22 2.843626  52.024138 1.290326 401.065618 6.173975
1  23 2.843626  56.151943 1.612872 417.896937 5.663953
1  24 2.843626  60.916583 1.738229 436.289006 7.271693
1  25 2.843626  64.954861 1.102003 461.404871 10.392982
1  26 2.843626  67.591757 0.752599 491.797184 10.982764
1  27 2.843626  69.548686 0.623763 528.686190 14.962285
1  28 2.843626  71.645392 0.850907 574.859252 17.512494
1  29 2.843626  73.399314 0.382674 624.831564 17.634402
1  30 2.843626  73.927864 -0.010931 675.163299 17.765285
1  31 2.843626  73.487080 -0.299084 725.540730 17.666542
1  32 2.843626  72.353007 -0.498541 775.342082 17.360113
1  33 2.843626  71.222012 -0.296919 824.405367 17.147439
1  34 2.843626  70.032699 -0.539558 873.306009 17.245722
1  35 2.843626  68.222204 -0.733813 922.234052 17.166710
1  36 2.843626  65.893923 -0.903731 970.854953 17.029701
1  37 2.843626  63.901165 -0.497831 1019.649687 17.288972
1  38 2.843626  61.879150 -0.924307 1068.643965 17.170045
