nmc=10
nx=5
kmax=105
run number  , frame , sample interval , truth:
1  1 1.899769  24.757979 -0.254790 127.479324 3.873929 0.000000
1  2 1.899769  24.109748 -0.427641 135.118535 4.168323 0.000000
1  3 1.899769  23.583372 -0.126506 142.756769 3.872901 0.000000
1  4 1.899769  23.543237 0.084254 150.256150 4.022144 0.000000
1  5 1.899769  23.579884 -0.045675 157.566984 3.674406 0.000000
1  6 1.899769  23.360035 -0.185773 164.742402 3.879583 0.000000
1  7 1.899769  22.823208 -0.379376 172.423432 4.206694 0.000000
1  8 1.899769  22.179507 -0.298286 180.601104 4.402427 0.000000
1  9 1.899769  21.803687 -0.097362 188.799746 4.228771 0.000000
1  10 1.899769  21.365040 -0.364429 196.530229 3.909569 0.000000
1  11 1.899769  20.805040 -0.225116 203.967929 3.920540 0.000000
1  12 1.899769  20.455648 -0.142709 211.613191 4.128082 0.000000
1  13 1.899769  20.270080 -0.052649 219.414560 4.084884 0.000000
1  14 1.899769  20.092733 -0.134055 226.850356 3.743221 0.000000
1  15 1.899769  20.038401 0.076858 233.796979 3.569902 0.000000
1  16 1.899769  20.226546 0.121214 240.233477 3.206182 0.000000
1  17 1.899769  20.611143 0.283674 246.198643 3.073703 0.000000
1  18 1.899769  21.167770 0.302320 251.906210 2.934992 0.000000
1  19 1.899769  21.727975 0.287440 257.555756 3.012622 0.000000
1  20 1.899769  22.425832 0.447236 263.266722 2.999652 0.000000
1  21 1.899769  23.210568 0.378901 269.278307 3.329101 0.000000
1  22 1.899769  23.991435 0.443163 275.642960 3.371347 0.000000
1  23 1.899769  24.844836 0.455263 281.615453 2.916252 0.000000
1  24 1.899769  25.287885 0.011162 287.169034 2.930333 0.000000
1  25 1.899769  25.261975 -0.038439 292.899087 3.102034 0.000000
1  26 1.899769  25.125968 -0.104744 298.820034 3.131299 0.000000
1  27 1.899769  25.051851 0.026717 304.944619 3.316415 0.000000
1  28 1.899769  24.659818 -0.439433 311.213842 3.283570 0.000000
1  29 1.899769  23.564786 -0.713373 317.679641 3.523360 0.000000
1  30 1.899769  22.347044 -0.568617 324.399493 3.551028 0.000000
1  31 1.899769  21.173018 -0.667350 331.156346 3.562313 0.000000
1  32 1.899769  19.535639 -1.056416 337.720432 3.348090 0.000000
1  33 1.899769  17.768004 -0.804479 343.994311 3.256795 0.000000
1  34 1.899769  16.427215 -0.607049 350.281658 3.362269 0.000000
1  35 1.899769  14.861156 -1.041634 356.672412 3.365658 0.000000
1  36 1.899769  13.387841 -0.509412 363.313175 3.625468 0.000000
1  37 1.899769  12.536288 -0.387069 370.139816 3.561343 0.000000
1  38 1.899769  11.665727 -0.529421 376.678404 3.322218 0.000000
1  39 1.899769  10.568603 -0.625587 383.227950 3.572879 0.000000
1  40 1.899769  9.179614 -0.836684 389.941794 3.495185 0.000000
1  41 1.899769  7.543667 -0.885575 396.531393 3.442078 0.000000
1  42 1.899769  6.035821 -0.701824 403.415472 3.805201 0.000000
1  43 1.899769  2.508524 -2.917961 409.722253 2.648824 -0.013483
1  44 1.899769  -3.221616 -3.114182 414.895322 2.796880 -0.012128
1  45 1.899769  -9.223509 -3.204096 420.326972 2.921091 -0.067675
1  46 1.899769  -14.883498 -2.746223 426.657381 3.734713 -0.373285
1  47 1.899769  -17.207945 0.404976 435.051959 4.733957 -0.226371
1  48 1.899769  -14.687717 2.205086 443.460067 3.978508 -0.428138
1  49 1.899769  -7.945763 4.502270 448.739530 1.277823 -0.613244
1  50 1.899769  0.209125 3.107182 446.506782 -3.320166 -0.410811
1  51 1.899769  2.876579 -0.460022 438.580518 -4.599122 -0.252175
1  52 1.899769  -0.042354 -2.554417 430.578120 -3.659705 -0.317498
1  53 1.899769  -6.768111 -4.314311 425.323282 -1.707992 -0.224989
1  54 1.899769  -15.526136 -4.767010 423.615236 -0.067313 -0.627041
1  55 1.899769  -22.224970 -1.376036 428.341515 4.445312 -0.649000
1  56 1.899769  -19.810479 3.564954 435.876305 2.408505 -0.717256
1  57 1.899769  -11.987366 3.405135 434.936617 -3.287186 -1.070579
1  58 1.899769  -13.321151 -4.185659 427.507307 -1.663256 -1.220764
1  59 1.899769  -18.305517 1.437430 432.224255 4.150120 -1.248600
1  60 1.899769  -11.935331 1.705847 432.492670 -4.050640 -1.558334
1  61 1.899769  -16.966176 -2.483240 429.387950 3.187487 -1.377797
1  62 1.899769  -13.493186 3.806652 433.720559 -1.714733 -1.168432
1  63 1.899769  -13.449351 -3.874458 427.415514 -1.900687 -1.373250
1  64 1.899769  -16.538134 1.151690 420.399042 -4.390354 0.000000
1  65 1.899769  -9.928496 4.787487 415.354576 -0.146539 0.000000
1  66 1.899769  -3.274478 1.129953 420.576657 4.843899 0.000000
1  67 1.899769  -6.926736 -4.383036 428.311403 2.027714 0.000000
1  68 1.899769  -15.251260 -3.055560 426.156477 -3.983806 0.000000
1  69 1.899769  -14.759355 3.558373 417.411837 -3.806859 0.000000
1  70 1.899769  -5.854200 4.364979 416.167786 2.722811 0.000000
1  71 1.899769  -3.064369 -1.922760 425.079902 5.296167 0.000000
1  72 1.899769  -11.184405 -5.277876 430.433171 -0.501020 0.000000
1  73 1.899769  -18.269744 -1.097481 424.293413 -4.933467 0.000000
1  74 1.899769  -14.284255 4.678591 416.348381 -2.145304 0.000000
1  75 1.899769  -5.250099 3.421051 418.687223 4.269695 0.000000
1  76 1.899769  -5.090081 -3.268904 428.509729 4.528703 0.000000
1  77 1.899769  -14.277538 -4.890308 430.989230 -2.354523 0.000000
1  78 1.899769  -18.568718 1.048140 422.226072 -5.497970 0.000000
1  79 1.899769  -11.191098 5.529850 415.879225 -0.146270 0.000000
1  80 1.899769  -3.392032 1.428395 421.755995 5.403673 0.000000
1  81 1.899769  -7.004271 -4.608191 430.924327 2.801059 0.000000
1  82 1.899769  -16.476146 -3.853818 429.694847 -3.915291 0.000000
1  83 1.899769  -17.688454 2.751524 420.108039 -4.638324 0.000000
1  84 1.899769  -8.911703 5.071030 416.561438 1.455058 0.000000
1  85 1.899769  0.389942 4.721365 419.458951 1.595327 0.000000
1  86 1.899769  9.542425 4.913999 422.415823 1.517548 0.000000
1  87 1.899769  19.042796 5.087607 425.393301 1.617021 0.000000
1  88 1.899769  28.883629 5.272424 428.392869 1.540803 0.000000
1  89 1.899769  38.712038 5.074527 431.143230 1.354666 0.000000
1  90 1.899769  48.391210 5.115313 433.609740 1.241976 0.000000
1  91 1.899769  58.061140 5.064798 435.750088 1.011296 0.000000
1  92 1.899769  67.688666 5.070671 437.694462 1.035662 0.000000
1  93 1.899769  77.587535 5.350456 439.535633 0.902649 0.000000
1  94 1.899769  87.987120 5.597805 441.212834 0.863041 0.000000
1  95 1.899769  98.514333 5.484818 443.037294 1.057677 0.000000
1  96 1.899769  108.782478 5.325069 444.846740 0.847235 0.000000
1  97 1.899769  118.840382 5.263484 446.715769 1.120402 0.000000
1  98 1.899769  128.886054 5.312193 448.581298 0.843551 0.000000
1  99 1.899769  138.892083 5.221749 450.336744 1.004511 0.000000
1  100 1.899769  148.882819 5.296094 452.398157 1.165661 0.000000
1  101 1.899769  159.141229 5.503545 454.512735 1.060480 0.000000
1  102 1.899769  169.614930 5.522743 456.477343 1.007780 0.000000
1  103 1.899769  179.946263 5.353665 458.274094 0.883767 0.000000
1  104 1.899769  190.006943 5.237812 459.969993 0.901607 0.000000
1  105 1.899769  200.086784 5.373836 461.560853 0.773186 0.000000
2  1 1.899769  25.153242 0.161327 127.761674 4.171176 0.000000
2  2 1.899769  25.383637 0.081224 135.639388 4.122161 0.000000
2  3 1.899769  25.971054 0.537185 143.507691 4.161270 0.000000
2  4 1.899769  27.276424 0.837056 151.285790 4.027197 0.000000
2  5 1.899769  28.791194 0.757633 158.958360 4.050174 0.000000
2  6 1.899769  30.164501 0.688129 166.576873 3.970288 0.000000
2  7 1.899769  31.646872 0.872451 174.158155 4.010977 0.000000
2  8 1.899769  33.258828 0.824550 181.739732 3.970600 0.000000
2  9 1.899769  35.039033 1.049578 189.049707 3.725046 0.000000
2  10 1.899769  37.119589 1.140747 195.774313 3.354347 0.000000
2  11 1.899769  39.254696 1.107006 201.881147 3.074681 0.000000
2  12 1.899769  41.747445 1.517259 207.542888 2.885770 0.000000
