nmc=10
nx=5
kmax=157
run number  , frame , sample interval , truth:
1  1 1.272188  24.347377 -1.020519 125.189230 4.115220 0.067240
1  2 1.272188  22.782483 -1.438186 130.346272 3.987179 0.044117
1  3 1.272188  20.721640 -1.800841 135.381807 3.927089 0.361779
1  4 1.272188  17.349330 -3.407717 139.754145 2.826789 0.487845
1  5 1.272188  12.199409 -4.427246 141.818194 0.313107 0.182652
1  6 1.272188  6.524527 -4.454361 141.595200 -0.661857 0.182713
1  7 1.272188  1.013928 -4.169725 140.121227 -1.644811 0.358227
1  8 1.272188  -3.747934 -3.189293 136.931113 -3.282737 0.321951
1  9 1.272188  -6.895614 -1.690803 132.023356 -4.325175 0.423309
1  10 1.272188  -7.734535 0.394938 126.243311 -4.539951 0.429532
1  11 1.272188  -5.805876 2.557799 120.953101 -3.566085 0.245641
1  12 1.272188  -1.891145 3.546494 116.924677 -2.716247 0.124761
1  13 1.272188  2.832128 3.863201 113.969035 -1.920120 0.087635
1  14 1.272188  7.940515 4.159458 111.790844 -1.500679 0.167952
1  15 1.272188  13.444503 4.460685 110.440838 -0.613688 0.356370
1  16 1.272188  19.061353 4.216697 110.991385 1.465411 0.414131
1  17 1.272188  23.694764 2.897953 114.273691 3.579240 0.231702
1  18 1.272188  26.761183 1.888922 119.279497 4.233052 0.180138
1  19 1.272188  28.499693 0.832008 124.938486 4.624765 0.305056
1  20 1.272188  28.265308 -1.198599 130.926303 4.671155 0.420933
1  21 1.272188  25.253413 -3.422892 136.206293 3.430777 0.460733
1  22 1.272188  19.823920 -4.870490 138.954846 0.759886 0.360194
1  23 1.272188  13.684147 -4.610682 138.696135 -1.153858 0.391941
1  24 1.272188  8.440393 -3.460720 135.914886 -3.125635 0.340315
1  25 1.272188  4.999806 -1.863988 130.995547 -4.489998 0.405919
1  26 1.272188  4.031977 0.371420 125.018267 -4.694177 0.560497
1  27 1.272188  6.550742 3.422111 119.646837 -3.393005 0.714962
1  28 1.272188  12.199362 4.841573 117.724525 0.579594 0.677730
1  29 1.272188  17.292614 2.660037 120.793109 3.934438 0.842208
1  30 1.272188  17.573945 -2.269620 126.437575 4.057844 0.849205
1  31 1.272188  12.653619 -4.703665 129.225631 -0.111673 0.825033
1  32 1.272188  6.710915 -4.638829 129.249325 0.148923 0.000000
1  33 1.272188  0.906684 -4.485973 129.559724 0.339054 0.000000
1  34 1.272188  -4.817372 -4.512786 130.063800 0.453401 0.000000
1  35 1.272188  -10.515839 -4.445744 130.618943 0.419337 0.000000
1  36 1.272188  -16.319088 -4.677514 131.283489 0.625393 0.000000
1  37 1.272188  -22.303773 -4.730978 132.109207 0.672714 0.000000
1  38 1.272188  -28.436916 -4.910904 132.892391 0.558525 0.000000
1  39 1.272188  -34.780965 -5.062543 133.518865 0.426352 0.000000
1  40 1.272188  -41.105598 -4.880380 134.051831 0.411521 0.000000
1  41 1.272188  -47.394151 -5.005821 134.532942 0.344831 0.000000
1  42 1.272188  -53.704458 -4.914579 134.985029 0.365893 0.000000
1  43 1.272188  -59.827605 -4.711588 135.393595 0.276411 0.000000
1  44 1.272188  -65.783021 -4.650890 135.656560 0.136995 0.000000
1  45 1.272188  -71.653614 -4.578238 135.709231 -0.054192 0.000000
1  46 1.272188  -77.609404 -4.784828 135.690887 0.025354 0.000000
1  47 1.272188  -83.710787 -4.807125 135.615315 -0.144161 0.000000
1  48 1.272188  -89.714840 -4.631815 135.495138 -0.044768 0.000000
1  49 1.272188  -95.614011 -4.642242 135.480760 0.022164 0.000000
1  50 1.272188  -101.526160 -4.652216 135.529503 0.054463 0.000000
1  51 1.272188  -107.434716 -4.636593 135.646203 0.129001 0.000000
1  52 1.272188  -113.410115 -4.757301 135.887313 0.250047 0.000000
1  53 1.272188  -119.476234 -4.779214 136.130469 0.132217 0.000000
1  54 1.272188  -125.673483 -4.963449 136.190234 -0.038260 0.000000
1  55 1.272188  -131.881358 -4.795917 136.089810 -0.119616 0.000000
1  56 1.272188  -138.094747 -4.972120 135.881018 -0.208626 0.000000
1  57 1.272188  -144.454605 -5.026180 135.640784 -0.169044 0.000000
1  58 1.272188  -150.797099 -4.944821 135.373334 -0.251413 0.000000
1  59 1.272188  -157.105272 -4.972226 134.958309 -0.401047 0.000000
1  60 1.272188  -163.382769 -4.896595 134.583510 -0.188173 0.000000
1  61 1.272188  -169.670539 -4.988376 134.396765 -0.105407 0.000000
1  62 1.272188  -175.920001 -4.836370 134.042444 -0.451617 0.000000
