nmc=10
nx=6
kmax=20
run number  , frame , sample interval , truth:
1  1 1.661443  97.894025 15.435383 1.073454 163.769585 69.622590 29.919054
1  2 1.661443  125.167582 17.395793 1.179945 320.608616 119.176027 29.825549
1  3 1.661443  155.679015 19.333052 1.166010 559.586578 168.499233 29.686976
1  4 1.661443  189.502918 21.383255 1.233990 880.395618 217.682082 29.602497
1  5 1.661443  226.686846 23.377760 1.200466 1282.892873 266.833315 29.583468
1  6 1.661443  267.322276 25.538081 1.300268 1767.183906 316.143238 29.678981
1  7 1.661443  311.343067 27.452966 1.152544 2333.372002 365.418803 29.658301
1  8 1.661443  358.494865 29.307104 1.115981 2981.160257 414.371320 29.463864
1  9 1.661443  408.709538 31.139972 1.103179 3710.121856 463.133096 29.349058
1  10 1.661443  462.160000 33.202261 1.241264 4520.215390 512.035767 29.433862
1  11 1.661443  519.545146 35.876437 1.609551 5411.511514 560.882595 29.400251
1  12 1.661443  581.300402 38.462883 1.556747 6383.939803 609.700491 29.382837
1  13 1.661443  647.449434 41.165547 1.626697 7437.604281 658.672539 29.475619
1  14 1.661443  717.996330 43.756913 1.559709 8572.588059 707.590482 29.443053
1  15 1.661443  792.941647 46.460248 1.627101 9788.760325 756.405065 29.380843
1  16 1.661443  872.463569 49.266109 1.688810 11086.271770 805.504403 29.552233
1  17 1.661443  956.551038 51.956131 1.619088 12465.306979 854.541184 29.514581
1  18 1.661443  1045.046394 54.572205 1.574580 13925.950332 903.742099 29.613371
1  19 1.661443  1137.857994 57.151910 1.552690 15468.258255 952.846802 29.555462
1  20 1.661443  1234.948761 59.723352 1.547716 17092.057268 1001.838886 29.487678
2  1 1.284409  92.249586 15.184697 1.193387 139.755129 58.511913 30.051273
2  2 1.284409  112.686231 16.637957 1.131462 239.626833 97.002001 29.967168
2  3 1.284409  134.978344 18.073915 1.117992 389.011201 135.609909 30.058899
2  4 1.284409  159.181889 19.614319 1.199310 587.844443 174.000669 29.889834
2  5 1.284409  185.415009 21.234240 1.261220 835.922840 212.291354 29.811919
2  6 1.284409  213.908466 23.133972 1.479072 1133.203273 250.614977 29.837564
2  7 1.284409  244.944062 25.192699 1.602860 1479.719861 288.958786 29.853280
2  8 1.284409  278.646287 27.286279 1.629995 1875.471654 327.280931 29.836412
2  9 1.284409  315.095861 29.470697 1.700719 2320.425950 365.573819 29.813635
2  10 1.284409  354.374069 31.690849 1.728540 2814.450561 403.690128 29.676156
2  11 1.284409  396.512286 33.924124 1.738758 3357.497464 441.908238 29.755414
2  12 1.284409  441.475480 36.089725 1.686069 3949.602779 480.080793 29.719947
2  13 1.284409  489.155569 38.154700 1.607724 4590.778070 518.316907 29.769432
