nmc=10
nx=6
kmax=113
run number  , frame , sample interval , truth:
1  1 1.759637  269.623105 149.335508 46.174819 205.686059 89.821966 5.910803
1  2 1.759637  603.686271 230.360094 46.046201 372.951880 100.292070 5.950150
1  3 1.759637  1080.651290 311.757501 46.258074 558.436109 110.528975 5.817624
1  4 1.759637  1700.984675 393.312324 46.347534 761.992222 120.832542 5.855508
1  5 1.759637  2464.745546 474.776928 46.296262 983.517096 130.952237 5.751014
1  6 1.759637  3371.872468 556.261924 46.307851 1222.788812 141.003571 5.712164
1  7 1.759637  4422.444498 637.816383 46.347327 1479.788981 151.102366 5.739136
1  8 1.759637  5616.441317 719.278285 46.294727 1754.634695 161.286785 5.787797
1  9 1.759637  6953.842080 800.809051 46.333862 2047.490054 171.572097 5.845133
1  10 1.759637  8434.698544 882.329781 46.328158 2358.546945 181.974614 5.911741
1  11 1.759637  10059.113816 963.977737 46.400461 2688.150869 192.652622 6.068303
1  12 1.759637  11827.421813 1045.877998 46.543846 3036.510423 203.292229 6.046479
1  13 1.759637  13740.090743 1128.058117 46.702889 3403.573859 213.911422 6.034878
1  14 1.759637  15797.341035 1210.208918 46.686227 3789.341232 224.551089 6.046513
1  15 1.759637  17999.135048 1292.346254 46.678575 4193.726218 235.072169 5.979121
1  16 1.759637  20345.198241 1374.185012 46.508894 4616.753599 245.740003 6.062520
1  17 1.759637  22835.402593 1456.176839 46.595883 5058.642301 256.509913 6.120530
1  18 1.759637  25469.880179 1538.165715 46.594205 5519.496555 267.296215 6.129846
1  19 1.759637  28248.358905 1619.848279 46.420129 5999.072291 277.788717 5.962879
1  20 1.759637  31170.712174 1701.693267 46.512434 6497.152693 288.328585 5.989798
1  21 1.759637  34236.883872 1783.312049 46.383882 7013.776375 298.864975 5.987821
1  22 1.759637  37446.455803 1864.681718 46.242310 7548.854117 309.303438 5.932169
1  23 1.759637  40799.257343 1946.106569 46.273671 8102.025062 319.429678 5.754733
1  24 1.759637  44295.378390 2027.578415 46.300377 8673.098976 329.651920 5.809292
1  25 1.759637  47934.993121 2109.201237 46.386177 9262.117774 339.825801 5.781807
1  26 1.759637  51718.486959 2191.111153 46.549333 9868.872437 349.810473 5.674280
1  27 1.759637  55646.089311 2272.994718 46.534357 10493.063407 359.643878 5.588315
1  28 1.759637  59717.870375 2354.984421 46.594676 11134.176471 369.044094 5.342135
1  29 1.759637  63933.926191 2436.977145 46.596393 11791.646209 378.234844 5.223095
1  30 1.759637  68294.135294 2518.828791 46.516218 12465.251950 387.384248 5.199598
1  31 1.759637  72798.303737 2600.601076 46.471117 13155.090186 396.684668 5.285421
1  32 1.759637  77446.106375 2682.083163 46.306198 13861.009552 405.662031 5.101828
1  33 1.759637  82237.338604 2763.622894 46.338957 14582.875245 414.809236 5.198348
1  34 1.759637  87172.028597 2845.137004 46.324397 15320.976516 424.115360 5.288662
1  35 1.759637  92250.234132 2926.742404 46.376276 16075.430555 433.395764 5.274045
1  36 1.759637  97471.730442 3008.001046 46.179214 16845.900310 442.318794 5.070950
1  37 1.759637  102836.287108 3089.344550 46.227441 17632.061208 451.230289 5.064395
1  38 1.759637  108344.015355 3170.729611 46.251058 18433.736015 459.951876 4.956470
1  39 1.759637  113994.963511 3252.128045 46.258657 19250.712874 468.622574 4.927550
1  40 1.759637  119789.332198 3333.741133 46.380646 20083.012813 477.368061 4.970053
1  41 1.759637  125726.997977 3414.999266 46.178925 20930.640595 486.044173 4.930627
1  42 1.759637  131807.808048 3496.438681 46.281947 21793.690168 494.896442 5.030736
1  43 1.759637  138031.959038 3577.920301 46.305933 22672.288610 503.716990 5.012710
1  44 1.759637  144399.460793 3659.370905 46.288306 23566.348022 512.469354 4.973961
1  45 1.759637  150910.343219 3740.886519 46.325251 24475.941227 521.372670 5.059747
1  46 1.759637  157564.339411 3822.033756 46.115903 25402.581956 531.845540 5.951723
1  47 1.759637  164361.730081 3903.868429 46.506572 26346.604718 541.129058 5.275815
1  48 1.759637  171304.007211 3986.711450 47.079615 27306.030283 549.352338 4.673283
1  49 1.759637  178392.479746 4070.033867 47.352056 28280.122322 557.798947 4.800200
1  50 1.759637  185627.767705 4153.581600 47.480102 29267.895148 564.901897 4.036600
1  51 1.759637  193009.647721 4236.650141 47.207778 30267.300887 571.020894 3.477421
1  52 1.759637  200536.478156 4318.331988 46.419722 31278.110926 577.864006 3.888935
1  53 1.759637  208207.367522 4400.387266 46.631941 32300.888317 584.622963 3.841110
1  54 1.759637  216023.312213 4483.201614 47.063321 33337.885933 594.026689 5.344129
1  55 1.759637  223984.454782 4565.418916 46.724020 34390.642635 602.534711 4.835101
1  56 1.759637  232091.723379 4649.288199 47.662839 35460.754408 613.752433 6.375022
1  57 1.759637  240346.735601 4733.344058 47.768870 36548.463403 622.535682 4.991513
1  58 1.759637  248749.655800 4817.400143 47.768999 37652.456542 632.260962 5.526868
1  59 1.759637  257299.264906 4900.070410 46.981440 38776.155220 644.932963 7.201487
1  60 1.759637  265995.302265 4983.830235 47.600634 39922.086935 657.530993 7.159449
1  61 1.759637  274839.750613 5068.754078 48.262144 41093.817579 674.255980 9.504795
1  62 1.759637  283835.467376 5155.761648 49.446325 42295.511102 691.586747 9.849060
1  63 1.759637  292984.686236 5243.224289 49.704942 43526.829643 707.927723 9.286562
1  64 1.759637  302287.415772 5330.241609 49.451866 44789.162690 726.837781 10.746569
1  65 1.759637  311744.251495 5418.381108 50.089599 46088.662177 750.171033 13.260267
1  66 1.759637  321352.710753 5502.576651 47.848252 47430.141513 774.552002 13.855683
1  67 1.759637  331110.777463 5588.424673 48.787355 48812.479230 796.610596 12.535879
1  68 1.759637  341019.032243 5673.280144 48.223289 50232.412602 817.283157 11.748198
1  69 1.759637  351076.657890 5758.199337 48.259502 51689.241156 838.545595 12.083425
1  70 1.759637  361283.594159 5842.986332 48.184374 53186.031018 862.703109 13.728694
1  71 1.759637  371639.773938 5927.829245 48.216152 54724.515415 885.935528 13.202963
1  72 1.759637  382145.537563 6013.003066 48.404207 56303.859041 909.143638 13.189148
1  73 1.759637  392801.371326 6098.398698 48.530262 57923.659388 931.918565 12.942971
1  74 1.759637  403607.614007 6183.957576 48.623034 59582.088059 953.048522 12.008136
1  75 1.759637  414564.723760 6269.873945 48.826196 61278.062879 974.593452 12.243964
1  76 1.759637  425672.882996 6355.640150 48.740858 63010.181622 994.129641 11.102399
1  77 1.759637  436931.840706 6441.271223 48.664063 64777.501554 1014.603061 11.635027
1  78 1.759637  448341.452066 6526.872821 48.647312 66583.056005 1037.586927 13.061711
1  79 1.759637  459901.671488 6612.452080 48.634617 68430.864764 1062.629233 14.231520
1  80 1.759637  471612.263873 6697.786464 48.495454 70322.575862 1087.486247 14.126219
1  81 1.759637  483472.944859 6783.042518 48.450940 72259.327359 1113.822071 14.966625
1  82 1.759637  495483.676995 6868.334336 48.471265 74242.609816 1140.373255 15.089014
1  83 1.759637  507644.811512 6953.989596 48.677809 76272.522576 1166.821990 15.030793
1  84 1.759637  519956.361693 7039.296514 48.479845 78349.798030 1194.205608 15.562086
1  85 1.759637  532418.194379 7124.800425 48.591797 80477.556797 1224.201234 17.046488
1  86 1.759637  545030.635221 7210.477476 48.690192 82656.222484 1252.066323 15.835705
1  87 1.759637  557793.622784 7295.911561 48.552115 84884.731344 1280.852897 16.359385
1  88 1.759637  570706.954474 7381.358346 48.559332 87162.866677 1308.471683 15.695731
1  89 1.759637  583770.722864 7466.897646 48.611909 89493.881885 1340.956070 18.460848
1  90 1.759637  596984.528761 7551.890712 48.301484 91884.313508 1376.004275 19.917864
1  91 1.759637  610344.275576 7632.773834 45.965807 94335.035880 1409.482430 19.025606
1  92 1.759637  623850.810249 7718.729531 48.848547 96843.685606 1441.844401 18.391280
1  93 1.759637  637506.444254 7802.239870 47.458852 99408.437413 1473.247956 17.846612
1  94 1.759637  651318.321821 7896.315687 53.463203 102029.152938 1505.452663 18.301907
1  95 1.759637  665296.119474 7990.824346 53.709187 104708.874199 1540.313772 19.811537
1  96 1.759637  679437.887017 8082.683574 52.203518 107449.152789 1574.282015 19.304122
1  97 1.759637  693733.668490 8165.876305 47.278355 110250.963063 1610.250576 20.440902
1  98 1.759637  708182.165518 8256.259804 51.364862 113116.661804 1646.897533 20.826433
1  99 1.759637  722791.062826 8348.186978 52.242132 116048.316557 1685.216062 21.776386
1  100 1.759637  737554.553146 8431.969947 47.613787 119047.121630 1723.220468 21.597870
1  101 1.759637  752465.183710 8515.426319 47.428182 122110.627307 1758.754654 20.194047
1  102 1.759637  767517.487845 8592.995876 44.082710 125236.702014 1794.336316 20.221027
1  103 1.759637  782708.146294 8672.679588 45.284183 128426.138815 1830.771898 20.706309
1  104 1.759637  798041.124068 8754.755768 46.643820 131680.239215 1867.832848 21.061705
1  105 1.759637  813522.188700 8840.994848 49.009593 134997.568440 1902.637668 19.779548
1  106 1.759637  829162.391723 8935.632181 53.782312 138375.861836 1937.124616 19.598902
1  107 1.759637  844974.919623 9036.858999 57.527111 141815.415689 1972.266196 19.970929
1  108 1.759637  860966.790273 9139.472831 58.315350 145317.880408 2008.628995 20.664947
1  109 1.759637  877138.328330 9241.068655 57.736817 148885.702180 2046.550906 21.550988
1  110 1.759637  893489.769592 9343.950495 58.467659 152519.701046 2083.845762 21.194634
1  111 1.759637  910016.307559 9440.083261 54.632165 156221.266109 2123.346527 22.448250
1  112 1.759637  926718.784962 9543.922945 59.012001 159993.489076 2164.155410 23.191652
1  113 1.759637  943598.238146 9641.233620 55.301571 163837.684702 2205.150523 23.297486
2  1 1.759637  269.368490 149.046113 46.010356 205.840245 89.997214 6.010396
2  2 1.759637  602.969758 230.124496 46.076773 373.503501 100.568545 6.007678
2  3 1.759637  1079.467987 311.462546 46.224342 559.765434 111.136438 6.005724
2  4 1.759637  1698.750424 392.412775 46.003943 764.510114 121.576002 5.932795
2  5 1.759637  2460.630562 473.538839 46.103871 987.790011 132.203532 6.039615
2  6 1.759637  3365.560704 555.003156 46.296099 1229.685014 142.733900 5.984399
2  7 1.759637  4413.478659 636.058533 46.063699 1490.311953 153.494217 6.115078
2  8 1.759637  5604.320597 717.450303 46.254870 1769.845503 164.223120 6.097226
2  9 1.759637  6938.381966 798.841484 46.254536 2068.125626 174.801539 6.011706
