nmc=50
nx=2
kmax=100
run number  , frame , sample interval , truth:
1  1 1.000000  -7.818527 -8.501354
1  2 1.000000  -16.097726 -8.057044
1  3 1.000000  -24.199032 -8.145568
1  4 1.000000  -31.970007 -7.396382
1  5 1.000000  -39.360384 -7.384373
1  6 1.000000  -47.032376 -7.959611
1  7 1.000000  -54.271917 -6.519469
1  8 1.000000  -61.074904 -7.086506
1  9 1.000000  -68.459763 -7.683211
1  10 1.000000  -75.715140 -6.827543
1  11 1.000000  -83.043897 -7.829973
1  12 1.000000  -90.492052 -7.066336
1  13 1.000000  -97.183821 -6.317203
1  14 1.000000  -104.228256 -7.771667
1  15 1.000000  -112.465058 -8.701937
1  16 1.000000  -121.096744 -8.561433
1  17 1.000000  -129.760979 -8.767038
1  18 1.000000  -138.593970 -8.898943
1  19 1.000000  -147.170290 -8.253697
1  20 1.000000  -156.436153 -10.278028
1  21 1.000000  -166.665915 -10.181497
1  22 1.000000  -177.176409 -10.839491
1  23 1.000000  -188.341438 -11.490566
1  24 1.000000  -198.381071 -8.588700
1  25 1.000000  -207.251578 -9.152314
1  26 1.000000  -216.234918 -8.814364
1  27 1.000000  -225.599066 -9.913931
1  28 1.000000  -235.008898 -8.905734
1  29 1.000000  -243.889669 -8.855808
1  30 1.000000  -252.535802 -8.436457
1  31 1.000000  -260.173291 -6.838522
1  32 1.000000  -267.955159 -8.725213
1  33 1.000000  -277.099218 -9.562906
1  34 1.000000  -285.576994 -7.392645
1  35 1.000000  -293.658942 -8.771252
1  36 1.000000  -302.212681 -8.336226
1  37 1.000000  -310.340791 -7.919993
1  38 1.000000  -318.930130 -9.258686
1  39 1.000000  -329.101631 -11.084316
1  40 1.000000  -340.501138 -11.714699
1  41 1.000000  -352.235033 -11.753091
1  42 1.000000  -364.684954 -13.146751
1  43 1.000000  -377.267617 -12.018575
1  44 1.000000  -389.495560 -12.437311
1  45 1.000000  -401.001672 -10.574913
1  46 1.000000  -412.147031 -11.715805
1  47 1.000000  -423.787634 -11.565403
1  48 1.000000  -435.720710 -12.300748
1  49 1.000000  -447.230412 -10.718657
1  50 1.000000  -456.822745 -8.466009
1  51 1.000000  -466.077458 -10.043418
1  52 1.000000  -475.956213 -9.714091
1  53 1.000000  -486.303406 -10.980296
1  54 1.000000  -497.545833 -11.504558
1  55 1.000000  -508.744313 -10.892403
1  56 1.000000  -519.733603 -11.086176
1  57 1.000000  -530.715305 -10.877228
1  58 1.000000  -541.661226 -11.014614
1  59 1.000000  -552.762728 -11.188389
1  60 1.000000  -564.181526 -11.649207
1  61 1.000000  -575.646137 -11.280015
1  62 1.000000  -586.543952 -10.515615
1  63 1.000000  -596.821314 -10.039108
1  64 1.000000  -606.347415 -9.013094
1  65 1.000000  -615.273047 -8.838170
1  66 1.000000  -624.422936 -9.461609
1  67 1.000000  -634.513797 -10.720114
1  68 1.000000  -644.534011 -9.320315
1  69 1.000000  -653.743834 -9.099331
1  70 1.000000  -662.159913 -7.732828
1  71 1.000000  -669.645913 -7.239171
1  72 1.000000  -676.650829 -6.770662
1  73 1.000000  -683.071198 -6.070077
1  74 1.000000  -688.645055 -5.077637
1  75 1.000000  -694.230619 -6.093492
1  76 1.000000  -700.490987 -6.427243
1  77 1.000000  -707.995775 -8.582335
1  78 1.000000  -717.804263 -11.034641
1  79 1.000000  -729.243057 -11.842945
1  80 1.000000  -741.883517 -13.437975
1  81 1.000000  -755.276308 -13.347608
1  82 1.000000  -767.943311 -11.986397
1  83 1.000000  -779.597744 -11.322469
1  84 1.000000  -791.364228 -12.210500
1  85 1.000000  -803.900340 -12.861723
1  86 1.000000  -817.258379 -13.854354
1  87 1.000000  -830.954410 -13.537708
1  88 1.000000  -844.515152 -13.583778
1  89 1.000000  -858.045541 -13.476999
1  90 1.000000  -871.555429 -13.542777
1  91 1.000000  -884.964026 -13.274417
1  92 1.000000  -898.003956 -12.805445
1  93 1.000000  -910.713257 -12.613156
1  94 1.000000  -923.298542 -12.557415
1  95 1.000000  -935.849481 -12.544462
1  96 1.000000  -948.150394 -12.057364
1  97 1.000000  -959.987607 -11.617062
1  98 1.000000  -971.977170 -12.362064
1  99 1.000000  -984.790873 -13.265342
1  100 1.000000  -998.580247 -14.313405
2  1 1.000000  -7.693248 -8.250796
2  2 1.000000  -15.572974 -7.508657
2  3 1.000000  -22.624923 -6.595240
2  4 1.000000  -28.734397 -5.623708
2  5 1.000000  -34.443651 -5.794800
2  6 1.000000  -40.441959 -6.201817
2  7 1.000000  -46.735183 -6.384630
2  8 1.000000  -54.101717 -8.348437
2  9 1.000000  -63.325733 -10.099595
2  10 1.000000  -73.478057 -10.205053
2  11 1.000000  -84.252495 -11.343823
2  12 1.000000  -95.497688 -11.146563
2  13 1.000000  -107.207983 -12.274027
2  14 1.000000  -119.352381 -12.014768
2  15 1.000000  -130.399933 -10.080335
2  16 1.000000  -140.446681 -10.013161
2  17 1.000000  -150.201750 -9.496976
2  18 1.000000  -159.729642 -9.558807
2  19 1.000000  -169.535430 -10.052769
2  20 1.000000  -180.196854 -11.270080
2  21 1.000000  -191.945088 -12.226387
2  22 1.000000  -203.744512 -11.372461
2  23 1.000000  -214.701213 -10.540939
2  24 1.000000  -225.034210 -10.125056
2  25 1.000000  -235.359994 -10.526512
2  26 1.000000  -245.454820 -9.663139
2  27 1.000000  -254.661325 -8.749873
2  28 1.000000  -264.059646 -10.046769
2  29 1.000000  -273.881397 -9.596733
2  30 1.000000  -283.865914 -10.372301
2  31 1.000000  -294.875809 -11.647489
2  32 1.000000  -307.146538 -12.893971
2  33 1.000000  -320.337471 -13.487895
2  34 1.000000  -332.908418 -11.653999
2  35 1.000000  -344.968938 -12.467040
2  36 1.000000  -356.999481 -11.594046
2  37 1.000000  -367.506544 -9.420080
2  38 1.000000  -377.015665 -9.598160
2  39 1.000000  -387.086365 -10.543241
2  40 1.000000  -397.151080 -9.586187
2  41 1.000000  -406.347099 -8.805850
