nmc=10
nx=4
kmax=20
run number  , frame , sample interval , truth:
1  1 2.959494  19.217054 -3.686779 129.566175 1.999445
1  2 2.959494  7.039708 -4.003095 130.773563 -1.212127
1  3 2.959494  -1.919453 -1.652832 122.230044 -4.199053
1  4 2.959494  -0.645067 2.474016 109.551776 -3.788925
1  5 2.959494  10.237806 4.383140 102.978366 -0.349454
1  6 2.959494  21.189188 2.488515 106.510169 2.534385
1  7 2.959494  24.486581 -0.409432 116.097635 3.512265
1  8 2.959494  19.044032 -3.026665 124.301413 1.645869
1  9 2.959494  9.118207 -3.237997 124.043613 -1.844102
1  10 2.959494  3.590899 -0.222673 114.624940 -4.127312
1  11 2.959494  8.626464 3.423237 103.768673 -2.716837
1  12 2.959494  21.015667 4.400778 100.729710 0.789785
1  13 2.959494  32.254458 2.726079 108.907952 4.401672
1  14 2.959494  33.786865 -1.764092 123.983928 5.123714
1  15 2.959494  22.268468 -5.531285 136.461581 2.810159
1  16 2.959494  3.836341 -6.126107 137.416140 -2.185965
1  17 2.959494  -9.529755 -2.314906 124.185059 -6.162301
1  18 2.959494  -8.162408 3.167318 104.567007 -6.250525
1  19 2.959494  7.889731 6.966358 92.337924 -1.461921
1  20 2.959494  28.006921 5.737439 96.584325 4.116269
2  1 1.542895  23.634564 -1.737380 125.948467 3.572509
2  2 1.542895  19.929505 -2.976193 130.624839 2.379959
2  3 1.542895  14.698474 -3.682333 133.175440 0.868267
2  4 1.542895  8.929710 -3.661141 133.226102 -0.802614
2  5 1.542895  3.638172 -3.078067 130.587045 -2.560730
2  6 1.542895  -0.021160 -1.579848 125.813181 -3.513863
2  7 1.542895  -1.236956 0.029844 119.989598 -3.900699
2  8 1.542895  0.281860 1.906135 114.200659 -3.468694
2  9 1.542895  4.357635 3.282996 109.686290 -2.278740
2  10 1.542895  9.960944 3.848319 107.448155 -0.570444
2  11 1.542895  15.983520 3.820851 107.898175 1.142158
2  12 1.542895  21.310435 2.961459 110.902031 2.681023
2  13 1.542895  24.799880 1.481249 115.689938 3.408564
2  14 1.542895  25.701556 -0.335876 121.381145 3.838846
2  15 1.542895  23.943325 -1.900373 127.039131 3.365429
2  16 1.542895  19.730185 -3.467859 131.413865 2.204523
2  17 1.542895  13.779433 -4.108049 133.215314 0.082673
2  18 1.542895  7.723490 -3.599368 131.764507 -1.932694
2  19 1.542895  2.996767 -2.419030 127.656371 -3.296401
2  20 1.542895  0.545284 -0.701971 121.989120 -3.916194
3  1 1.504659  23.658226 -1.753248 125.673746 3.409851
3  2 1.504659  20.046530 -2.963919 130.149824 2.440744
3  3 1.504659  14.905590 -3.753386 132.715226 0.911237
3  4 1.504659  9.239826 -3.647085 132.719576 -0.907083
3  5 1.504659  4.189461 -2.952645 130.437401 -2.068950
3  6 1.504659  0.701346 -1.602186 126.524770 -3.041282
3  7 1.504659  -0.313411 0.283131 121.597121 -3.396310
3  8 1.504659  1.062885 1.511246 116.681451 -3.027921
3  9 1.504659  4.376199 2.820167 112.797777 -2.045995
3  10 1.504659  9.305355 3.623353 110.825220 -0.529885
3  11 1.504659  14.770822 3.518048 111.001548 0.754314
3  12 1.504659  19.716626 2.945793 113.310637 2.263498
3  13 1.504659  23.178181 1.575433 117.484091 3.187067
3  14 1.504659  24.515758 0.174700 122.406495 3.238954
3  15 1.504659  23.480061 -1.532617 127.370570 3.251339
3  16 1.504659  20.195239 -2.758531 131.564034 2.227155
3  17 1.504659  15.435448 -3.460529 133.861829 0.774603
3  18 1.504659  10.173586 -3.413751 133.871305 -0.761350
3  19 1.504659  5.474546 -2.725577 131.541986 -2.283909
3  20 1.504659  2.317024 -1.398933 127.233119 -3.347640
4  1 2.751484  21.454032 -2.398382 130.008284 2.865773
4  2 2.751484  11.837127 -4.218368 134.549778 0.249682
4  3 2.751484  0.514285 -3.569421 130.508322 -3.023980
4  4 2.751484  -5.157666 -0.323797 118.927867 -4.924553
4  5 2.751484  -0.902433 3.229443 106.707118 -3.440371
4  6 2.751484  10.643850 4.679018 101.708066 0.013873
4  7 2.751484  21.361468 2.633539 106.713057 3.413221
4  8 2.751484  23.770484 -0.998948 117.542946 3.991841
4  9 2.751484  16.845882 -3.753506 126.070322 1.843055
4  10 2.751484  6.288968 -3.453735 126.766524 -1.357401
4  11 2.751484  -0.613427 -1.271073 119.537740 -3.603597
4  12 2.751484  0.128260 1.778812 108.826202 -3.756979
4  13 2.751484  8.566162 4.004396 101.405137 -1.332699
4  14 2.751484  19.713495 3.629204 102.639988 2.187264
4  15 2.751484  25.830374 0.543843 111.923509 4.174560
4  16 2.751484  23.189452 -2.332164 122.729536 3.228874
4  17 2.751484  13.598733 -4.256065 128.911998 1.039273
4  18 2.751484  2.266839 -3.499092 126.810533 -2.482488
4  19 2.751484  -3.176488 -0.210889 116.338661 -4.718761
4  20 2.751484  1.396927 3.345483 104.315917 -3.528338
5  1 2.474612  21.384473 -2.790649 129.046649 2.973865
5  2 2.474612  12.491330 -4.063526 133.619072 0.562235
5  3 2.474612  3.418146 -2.907945 131.205184 -2.427091
5  4 2.474612  -1.296723 -0.736899 123.534489 -3.471952
5  5 2.474612  -0.015502 1.720512 114.963963 -3.137472
5  6 2.474612  6.524984 3.317200 109.334245 -1.204163
5  7 2.474612  14.986261 3.201639 109.719159 1.507908
5  8 2.474612  21.350794 1.721475 115.977116 3.317301
5  9 2.474612  21.975989 -1.252513 124.719243 3.411514
5  10 2.474612  16.297769 -3.118814 130.933950 1.364398
5  11 2.474612  7.979463 -3.295957 131.449566 -0.960375
5  12 2.474612  1.457915 -1.728101 126.009625 -3.246834
5  13 2.474612  0.638432 1.104990 117.227764 -3.519826
5  14 2.474612  6.138700 3.131410 110.007308 -2.054947
5  15 2.474612  14.937844 3.648222 108.484184 0.894535
5  16 2.474612  22.233207 1.969336 113.544601 2.999922
5  17 2.474612  24.346836 -0.328765 122.055827 3.560927
5  18 2.474612  20.107127 -2.953025 129.855904 2.453322
5  19 2.474612  11.737427 -3.481496 132.857955 -0.137125
5  20 2.474612  3.736036 -2.695865 129.598761 -2.370995
6  1 1.273037  23.940486 -1.646156 124.823415 3.482682
6  2 1.273037  21.020504 -2.886112 128.820020 2.720914
6  3 1.273037  16.844706 -3.593115 131.499804 1.437712
6  4 1.273037  11.924132 -4.045276 132.353442 -0.114280
6  5 1.273037  6.970651 -3.641194 131.355015 -1.432981
6  6 1.273037  2.800732 -2.829937 128.665425 -2.741672
