nmc=10
nx=5
kmax=20
run number  , frame , sample interval , truth:
1  1 1.794211  57.951993 -62.419687 208.821496 66.264781 0.967175
1  2 1.794211  -85.306886 -54.988028 201.424111 -72.293465 1.085764
1  3 1.794211  -41.239626 87.508055 70.164520 -24.551163 0.881063
1  4 1.794211  86.105306 23.544604 142.421121 87.531959 1.105988
1  5 1.794211  -5.510249 -89.790779 244.714101 -13.642941 1.354491
1  6 1.794211  -30.967256 77.055075 121.427235 -48.515479 1.104852
1  7 1.794211  94.240033 13.430526 178.840240 90.047640 1.107027
1  8 1.794211  -8.982537 -87.977382 270.131849 -24.232683 1.272339
1  9 1.794211  -29.920389 75.735974 141.317232 -50.847142 1.391505
1  10 1.794211  68.536667 -29.961508 216.989288 85.846409 1.210405
1  11 1.794211  -62.667010 -53.601974 236.735918 -73.254251 1.426771
1  12 1.794211  11.039913 85.152074 139.213385 31.362236 1.295921
1  13 1.794211  18.259746 -81.043363 267.390165 40.390415 1.475212
1  14 1.794211  -59.128598 52.339001 177.188524 -73.933681 1.318744
1  15 1.794211  65.063002 14.729069 205.880694 89.336135 1.449215
1  16 1.794211  -44.395320 -58.908697 256.147544 -69.386791 1.683681
1  17 1.794211  33.606593 66.938589 181.519529 61.850613 2.026683
1  18 1.794211  -39.480636 -29.580434 228.839904 -86.536783 2.028804
1  19 1.794211  47.606887 -15.394906 221.709891 89.994393 2.102349
1  20 1.794211  -25.387505 65.569591 182.889862 -64.004581 2.280968
2  1 1.059183  82.762512 -1.830497 148.275720 90.883741 0.965823
2  2 1.059183  36.119236 -78.414522 227.712518 45.800377 1.020165
2  3 1.059183  -55.513679 -77.451618 226.663692 -47.581098 0.817755
2  4 1.059183  -107.130342 -13.837250 149.078254 -89.631554 0.935144
2  5 1.059183  -76.071545 67.630521 62.243263 -60.703959 1.103019
2  6 1.059183  13.806018 82.320345 48.941307 38.519059 1.163428
2  7 1.059183  58.398972 -9.061381 127.450183 90.478198 1.147699
2  8 1.059183  -0.391337 -87.922380 196.271161 23.075049 1.139964
2  9 1.059183  -85.569783 -52.892800 165.482555 -73.969406 1.257986
2  10 1.059183  -81.522340 59.366162 76.196404 -68.919734 1.325186
2  11 1.059183  5.951709 77.737534 62.245529 47.047033 1.156871
2  12 1.059183  42.277157 -17.952165 144.932067 89.038308 1.115583
2  13 1.059183  -22.169889 -89.246862 208.916522 17.413075 1.092666
2  14 1.059183  -106.441531 -51.695696 174.627222 -74.770881 1.072584
2  15 1.059183  -109.843120 45.970841 83.543708 -78.300451 1.138301
2  16 1.059183  -27.818106 89.697749 45.277845 15.022494 1.126468
2  17 1.059183  37.738431 19.034195 107.919141 88.878709 1.258507
2  18 1.059183  -1.468820 -81.743085 188.148703 39.498656 1.292468
2  19 1.059183  -87.823786 -55.006284 167.544305 -72.123431 1.188326
2  20 1.059183  -89.820337 51.747923 77.723435 -74.472156 1.294182
3  1 1.602869  68.601983 -48.702927 195.000919 76.796180 1.168923
3  2 1.602869  -56.428061 -58.739664 203.505266 -69.531577 0.976454
3  3 1.602869  -45.793866 69.178435 72.536081 -59.066691 1.159815
3  4 1.602869  76.584631 36.701497 100.326776 83.135347 1.108186
3  5 1.602869  18.748690 -88.789677 213.420701 18.688192 1.170757
3  6 1.602869  -74.382892 8.854467 130.035190 -90.219397 0.878297
3  7 1.602869  21.580716 90.416248 37.228462 -5.770096 0.740030
3  8 1.602869  139.689506 39.254525 106.609320 81.984968 0.676015
3  9 1.602869  126.470724 -54.106117 244.582773 72.980697 0.659182
3  10 1.602869  -1.331423 -90.250853 299.640969 -10.750577 0.588503
3  11 1.602869  -118.028921 -44.408469 221.503937 -79.409999 0.672597
3  12 1.602869  -114.069163 48.850567 82.810285 -76.536272 0.881008
3  13 1.602869  13.673928 83.096699 43.686619 36.108358 0.847987
3  14 1.602869  75.940746 -17.729741 162.775842 88.881631 1.103327
3  15 1.602869  -36.044996 -83.480298 222.393062 -35.023651 1.153330
3  16 1.602869  -67.123956 56.366044 100.869370 -70.779822 1.041020
3  17 1.602869  61.195590 64.689455 92.666105 63.046011 0.943419
3  18 1.602869  66.853530 -58.999869 224.168286 68.568654 0.857945
3  19 1.602869  -65.059786 -78.815406 247.382089 -44.274443 0.829624
3  20 1.602869  -116.582648 24.311768 123.242758 -87.092224 0.828661
4  1 1.050269  82.870041 -0.840011 147.474812 90.914269 1.014182
4  2 1.050269  35.881979 -80.021103 225.507557 43.365272 1.047213
4  3 1.050269  -54.772522 -74.834153 220.729465 -51.515606 1.001643
4  4 1.050269  -93.677911 7.717786 138.448190 -90.437780 1.017014
4  5 1.050269  -40.877879 83.093610 64.437725 -36.840105 0.879525
4  6 1.050269  51.148561 79.509669 68.578429 44.161602 0.756776
4  7 1.050269  108.731549 24.317600 141.782142 87.829160 0.646947
4  8 1.050269  102.144605 -36.378703 235.397946 83.526049 0.547750
4  9 1.050269  41.457525 -75.981622 307.649808 50.244427 0.715568
4  10 1.050269  -49.975330 -89.860243 327.002077 -15.142311 0.683079
4  11 1.050269  -130.979743 -57.719311 280.031742 -70.429965 0.576375
4  12 1.050269  -166.341930 -7.556237 192.602293 -90.950069 0.572710
4  13 1.050269  -145.898353 45.307682 100.372155 -79.356746 0.374069
4  14 1.050269  -83.242859 72.469956 28.329922 -56.063579 0.211952
4  15 1.050269  -1.221446 83.075867 -21.650437 -38.719545 0.105648
4  16 1.050269  88.111684 86.864365 -57.348426 -29.189366 0.044489
4  17 1.050269  179.985947 88.057595 -85.900052 -25.170885 0.010913
4  18 1.050269  272.708173 88.509035 -111.747122 -24.048489 0.042479
4  19 1.050269  366.218309 89.530392 -134.870315 -19.977095 -0.023989
4  20 1.050269  459.927680 88.908522 -156.937596 -22.042831 -0.082396
5  1 1.415375  76.396164 -33.431489 179.937406 84.656085 0.929022
5  2 1.415375  -26.503543 -90.396757 241.384146 -10.679844 0.735907
5  3 1.415375  -125.384996 -36.465633 168.164131 -83.239466 0.804007
5  4 1.415375  -106.476585 60.232745 47.950416 -67.873565 0.843470
5  5 1.415375  11.029727 85.649375 18.284033 31.059561 0.998533
5  6 1.415375  69.543808 -17.203161 121.239394 89.338787 0.842586
5  7 1.415375  -16.269302 -89.324851 206.737410 16.776992 0.718583
5  8 1.415375  -133.122017 -61.315493 167.588556 -67.252055 0.836275
5  9 1.415375  -151.101472 38.923311 47.597475 -82.008867 0.650678
5  10 1.415375  -53.747529 88.774548 -29.131699 -18.640439 0.608690
5  11 1.415375  67.422802 71.705836 -1.380682 55.409667 0.576287
5  12 1.415375  127.857207 8.909512 107.816790 90.243891 0.499656
5  13 1.415375  96.056636 -51.961068 229.473059 74.439852 0.428823
5  14 1.415375  -3.986631 -85.035590 306.898534 31.589563 0.240366
5  15 1.415375  -129.764924 -90.980966 330.546162 1.503838 0.211162
5  16 1.415375  -256.906321 -87.336872 313.510809 -25.396582 0.125141
5  17 1.415375  -376.820088 -81.664891 266.761557 -40.490077 0.115300
5  18 1.415375  -487.117785 -73.845229 200.444003 -53.011628 -0.016405
5  19 1.415375  -592.545316 -75.122794 126.487062 -51.488780 0.068310
5  20 1.415375  -695.221646 -69.851322 48.703828 -58.337307 0.124698
6  1 1.304999  79.594161 -23.871336 170.311916 87.664275 0.833970
6  2 1.304999  -1.973041 -88.525575 248.110675 19.563486 1.027172
6  3 1.304999  -100.641027 -39.353946 200.203903 -81.632621 1.092281
6  4 1.304999  -72.416872 75.014948 95.619115 -50.499288 0.942461
6  5 1.304999  38.356504 72.810593 98.140654 53.871021 0.868612
6  6 1.304999  78.413107 -18.160433 202.725119 88.882348 0.607442
6  7 1.304999  13.525066 -76.020212 298.030336 49.449244 0.712529
6  8 1.304999  -99.893407 -85.093065 310.671514 -31.502307 0.728202
6  9 1.304999  -176.940811 -23.974156 226.680442 -87.370047 0.709517
6  10 1.304999  -154.892702 55.307432 114.818563 -71.636256 0.709611
6  11 1.304999  -52.419501 90.341890 65.298792 1.253906 0.938116
6  12 1.304999  37.312265 29.564927 130.261196 85.570970 0.864360
6  13 1.304999  11.509036 -64.846808 239.333149 63.489717 0.766518
6  14 1.304999  -97.719754 -88.347627 270.128062 -20.297618 0.792600
6  15 1.304999  -180.950775 -27.621323 193.566050 -86.393858 0.908005
6  16 1.304999  -149.590738 69.960601 86.457510 -58.082633 0.884973
6  17 1.304999  -38.200628 81.335500 73.456305 40.409150 0.536494
6  18 1.304999  41.771293 36.179717 157.705240 83.393862 0.533096
6  19 1.304999  48.945155 -25.630460 273.580595 86.962433 0.329117
6  20 1.304999  -7.449376 -59.464539 376.362156 68.124319 0.481068
7  1 1.874367  52.954534 -67.294905 213.824080 60.956333 0.773168
7  2 1.874367  -102.680515 -68.629482 215.586831 -59.419521 0.745877
7  3 1.874367  -127.403344 46.683929 60.845866 -77.893122 0.851945
7  4 1.874367  21.108460 76.566172 25.787084 48.820694 0.964691
7  5 1.874367  35.935873 -65.250869 173.094470 63.029458 1.296413
7  6 1.874367  -82.375968 8.246007 116.566128 -90.166273 1.041539
7  7 1.874367  43.751024 80.598567 46.811747 40.929584 1.027359
7  8 1.874367  63.668100 -66.346805 189.951747 61.432873 1.004072
7  9 1.874367  -78.767904 -37.754202 161.887475 -81.968818 1.112560
7  10 1.874367  1.806775 90.127838 47.375504 7.751261 0.897131
7  11 1.874367  91.948292 -17.783184 167.307005 88.481938 0.618402
7  12 1.874367  -20.049419 -88.009492 281.165872 19.089313 0.660251
7  13 1.874367  -165.374972 -46.728602 219.331148 -76.349500 0.887425
7  14 1.874367  -123.684613 80.484920 76.140911 -39.471568 0.986404
7  15 1.874367  5.742807 15.825732 141.897510 88.486306 1.124175
7  16 1.874367  -101.028194 -84.084670 230.840723 -31.598299 1.221148
7  17 1.874367  -109.971129 79.129613 97.014890 -42.722014 1.230300
7  18 1.874367  -4.686770 -21.855719 178.667741 87.289343 1.137248
7  19 1.874367  -138.439335 -62.185400 214.089686 -65.080247 1.176525
7  20 1.874367  -93.024726 89.148245 85.369319 -11.493335 1.244150
8  1 1.015009  82.718166 2.111301 144.178680 90.715304 1.136865
8  2 1.015009  36.944570 -82.064114 218.199579 38.572098 1.124495
8  3 1.015009  -49.386353 -69.154301 206.746834 -58.644119 1.080942
8  4 1.015009  -76.797894 20.675052 123.636773 -88.357869 1.264326
8  5 1.015009  -11.082358 90.524221 68.344463 -5.209725 1.245068
8  6 1.015009  61.044518 32.131552 115.118638 84.777475 1.285820
8  7 1.015009  36.567112 -73.304706 197.084996 53.104091 1.247518
8  8 1.015009  -49.220027 -72.499542 196.580849 -53.953731 1.264065
8  9 1.015009  -73.759270 30.938108 114.634309 -84.716302 1.240721
8  10 1.015009  -2.641412 90.172238 66.952923 3.526952 1.282156
8  11 1.015009  63.105055 20.546643 121.191596 87.812067 1.341647
8  12 1.015009  26.263198 -81.544556 197.352577 38.315260 1.310995
8  13 1.015009  -56.406292 -56.566051 178.303438 -70.149598 1.375696
8  14 1.015009  -54.714748 59.353696 94.092834 -67.905224 1.306034
8  15 1.015009  28.759904 80.307567 78.063357 41.085255 1.249139
8  16 1.015009  66.992462 -15.360166 154.588084 88.943689 1.111582
