nmc=10
nx=5
kmax=152
run number  , frame , sample interval , truth:
1  1 1.309290  24.290936 -1.077170 125.250459 3.975070 0.172420
1  2 1.309290  22.334458 -1.898562 130.416046 3.883120 0.187200
1  3 1.309290  19.357208 -2.625739 135.080404 3.205689 0.274407
1  4 1.309290  15.173083 -3.698017 138.385955 1.786114 0.231302
1  5 1.309290  10.097316 -3.995588 139.983845 0.636315 0.267882
1  6 1.309290  4.859879 -3.922149 139.810756 -0.899274 0.473255
1  7 1.309290  0.230649 -2.929844 137.188967 -2.975560 0.514021
1  8 1.309290  -1.969879 -0.298483 132.373400 -4.098601 0.538184
1  9 1.309290  -0.465166 2.504304 127.305558 -3.319936 0.411534
1  10 1.309290  3.724964 3.737901 124.049567 -1.532031 0.311161
1  11 1.309290  8.992136 4.198564 123.058045 0.037937 0.194543
1  12 1.309290  14.312019 3.882891 123.847173 1.161329 0.214787
1  13 1.309290  19.095350 3.375430 126.045227 2.174014 0.055717
1  14 1.309290  23.342315 3.109080 128.933683 2.236197 0.200361
1  15 1.309290  26.989088 2.429586 132.461597 3.122811 0.386944
1  16 1.309290  28.926849 0.463725 137.105088 3.815956 0.400534
1  17 1.309290  28.238475 -1.490608 141.923280 3.370811 0.503775
1  18 1.309290  25.057525 -3.188991 145.498354 1.896161 0.394239
1  19 1.309290  20.563755 -3.518090 146.838548 0.106079 0.284241
1  20 1.309290  15.954955 -3.442078 146.151925 -1.142353 0.204047
1  21 1.309290  11.676954 -3.054061 143.915906 -2.254380 0.206942
1  22 1.309290  8.244835 -2.155416 140.500014 -2.931232 0.255928
1  23 1.309290  6.016354 -1.218152 136.327916 -3.381195 0.312262
1  24 1.309290  5.257280 0.072681 131.803272 -3.431695 0.082728
1  25 1.309290  5.609104 0.464240 127.098718 -3.748033 0.233388
1  26 1.309290  6.947579 1.564362 122.305304 -3.517707 0.196990
1  27 1.309290  9.559990 2.404036 117.958349 -3.086078 0.177137
1  28 1.309290  13.086981 2.959028 114.261347 -2.536307 0.334234
1  29 1.309290  17.424953 3.558182 112.074929 -0.745305 0.281747
